# force torque extension rel_extension L_occupancy P_occupancy linking superhelical
10 8 954.889 0.954889 5.87556e-11 2.4469e-16 3.29966 0.0112188 
10 8.1 954.889 0.954889 5.71506e-11 2.4469e-16 3.3409 0.0113591 
10 8.2 954.888 0.954888 5.56024e-11 2.4469e-16 3.38214 0.0114993 
10 8.3 954.888 0.954888 5.35029e-11 2.4469e-16 3.42338 0.0116395 
10 8.4 954.887 0.954887 5.17595e-11 3.26254e-16 3.46463 0.0117797 
10 8.5 954.887 0.954887 4.94603e-11 3.26254e-16 3.50587 0.0119199 
10 8.6 954.886 0.954886 4.81205e-11 3.26254e-16 3.54711 0.0120602 
10 8.7 954.886 0.954886 4.6828e-11 3.26254e-16 3.58835 0.0122004 
10 8.8 954.885 0.954885 4.46713e-11 3.26254e-16 3.62959 0.0123406 
10 8.9 954.885 0.954885 4.31653e-11 3.26254e-16 3.67083 0.0124808 
10 9 954.884 0.954884 4.26124e-11 4.07817e-16 3.71207 0.012621 
10 9.1 954.884 0.954884 4.02788e-11 4.07817e-16 3.75331 0.0127613 
10 9.2 954.883 0.954883 3.91994e-11 4.07817e-16 3.79455 0.0129015 
10 9.3 954.883 0.954883 3.75511e-11 4.07817e-16 3.83579 0.0130417 
10 9.4 954.882 0.954882 3.65458e-11 4.07817e-16 3.87703 0.0131819 
10 9.5 954.882 0.954882 3.46661e-11 4.89381e-16 3.91827 0.0133221 
10 9.6 954.881 0.954881 3.40339e-11 5.70944e-16 3.95951 0.0134623 
10 9.7 954.881 0.954881 3.28282e-11 4.89381e-16 4.00075 0.0136025 
10 9.8 954.88 0.95488 3.1654e-11 6.52508e-16 4.04199 0.0137428 
10 9.9 954.879 0.954879 3.05101e-11 6.52508e-16 4.08323 0.013883 
10 10 954.879 0.954879 2.90926e-11 6.52508e-16 4.12446 0.0140232 
10 10.1 954.878 0.954878 2.77033e-11 7.34071e-16 4.1657 0.0141634 
10 10.2 954.878 0.954878 2.75551e-11 7.34071e-16 4.20694 0.0143036 
10 10.3 954.877 0.954877 2.65235e-11 7.34071e-16 4.24818 0.0144438 
10 10.4 954.876 0.954876 2.58207e-11 7.34071e-16 4.28942 0.014584 
10 10.5 954.876 0.954876 2.42316e-11 8.97198e-16 4.33065 0.0147242 
10 10.6 954.875 0.954875 2.38805e-11 9.78762e-16 4.37189 0.0148644 
10 10.7 954.875 0.954875 2.2642e-11 9.78762e-16 4.41313 0.0150046 
10 10.8 954.874 0.954874 2.23357e-11 9.78762e-16 4.45437 0.0151448 
10 10.9 954.873 0.954873 2.14438e-11 1.14189e-15 4.4956 0.015285 
10 11 954.873 0.954873 2.14823e-11 1.22345e-15 4.53684 0.0154253 
10 11.1 954.872 0.954872 1.97209e-11 1.14189e-15 4.57808 0.0155655 
10 11.2 954.871 0.954871 1.94948e-11 1.30502e-15 4.61931 0.0157057 
10 11.3 954.871 0.954871 1.86809e-11 1.38658e-15 4.66055 0.0158459 
10 11.4 954.87 0.95487 1.78848e-11 1.46814e-15 4.70178 0.0159861 
10 11.5 954.869 0.954869 1.77123e-11 1.54971e-15 4.74302 0.0161263 
10 11.6 954.869 0.954869 1.66463e-11 8.52338e-14 4.78425 0.0162665 
10 11.7 954.868 0.954868 1.6203e-11 1.71283e-15 4.82549 0.0164067 
10 11.8 954.867 0.954867 1.51678e-11 1.7944e-15 4.86672 0.0165469 
10 11.9 954.867 0.954867 1.44519e-11 1.95752e-15 4.90796 0.0166871 
10 12 954.866 0.954866 1.46596e-11 2.03909e-15 4.94919 0.0168273 
10 12.1 954.865 0.954865 1.33642e-11 2.12065e-15 4.99043 0.0169675 
10 12.2 954.864 0.954864 1.39029e-11 2.28378e-15 5.03166 0.0171077 
10 12.3 954.864 0.954864 1.35447e-11 2.4469e-15 5.0729 0.0172478 
10 12.4 954.863 0.954863 1.22878e-11 2.61003e-15 5.11413 0.017388 
10 12.5 954.862 0.954862 1.25601e-11 2.6916e-15 5.15536 0.0175282 
10 12.6 954.862 0.954862 1.16303e-11 2.93629e-15 5.1966 0.0176684 
10 12.7 954.861 0.954861 1.19255e-11 3.09941e-15 5.23783 0.0178086 
10 12.8 954.86 0.95486 1.10176e-11 3.26254e-15 5.27906 0.0179488 
10 12.9 954.859 0.954859 1.0727e-11 3.50723e-15 5.32029 0.018089 
10 13 954.858 0.954858 1.04467e-11 8.72729e-14 5.36153 0.0182292 
10 13.1 954.858 0.954858 9.87215e-12 3.91505e-15 5.40276 0.0183694 
10 13.2 954.857 0.954857 9.61052e-12 4.07817e-15 5.44399 0.0185096 
10 13.3 954.856 0.954856 9.66148e-12 4.40443e-15 5.48522 0.0186498 
10 13.4 954.855 0.954855 8.81083e-12 4.64912e-15 5.52645 0.0187899 
10 13.5 954.855 0.954855 8.87839e-12 7.87088e-14 5.56768 0.0189301 
10 13.6 954.854 0.954854 8.34713e-12 1.72262e-13 5.60892 0.0190703 
10 13.7 954.853 0.954853 8.73468e-12 5.46475e-15 5.65015 0.0192105 
10 13.8 954.852 0.954852 7.30893e-12 5.87257e-15 5.69138 0.0193507 
10 13.9 954.851 0.954851 7.407e-12 6.11726e-15 5.73261 0.0194909 
10 14 954.851 0.954851 7.81588e-12 6.52508e-15 5.77384 0.019631 
10 14.1 954.85 0.95485 7.32167e-12 6.85133e-15 5.81507 0.0197712 
10 14.2 954.849 0.954849 7.13678e-12 7.25915e-15 5.85629 0.0199114 
10 14.3 954.848 0.954848 6.6556e-12 7.74853e-15 5.89752 0.0200516 
10 14.4 954.847 0.954847 6.78686e-12 8.23791e-15 5.93875 0.0201918 
10 14.5 954.846 0.954846 5.71014e-12 8.64573e-15 5.97998 0.0203319 
10 14.6 954.845 0.954845 6.45946e-12 9.27377e-14 6.02121 0.0204721 
10 14.7 954.845 0.954845 5.6974e-12 9.78762e-15 6.06244 0.0206123 
10 14.8 954.844 0.954844 6.15428e-12 1.03586e-14 6.10366 0.0207525 
10 14.9 954.843 0.954843 6.00969e-12 1.09295e-14 6.14489 0.0208926 
10 15 954.842 0.954842 5.26333e-12 1.1582e-14 6.18612 0.0210328 
